NAME,total population,total race,white,black,american indian or alaska native,asian,native hawaiian or pacific islander,other,two or more races,two races including other race,two races excluding other race or three or more races,total tenure,owner occupied,renter occupied,total educ attain,none,nursery,kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,12th grade no diploma,Regular high school diploma,GED or alternative credential,Some college <1 year,Some college 1+ years no degree,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,state,county,tract,block group,GEOID
"Block Group 2, Census Tract 11, Jackson County, Oregon",3148,3148,2915,0,87,0,0,30,116,0,116,1137,970,167,2158,12,0,0,0,0,0,0,0,0,0,0,18,29,52,39,539,60,198,438,292,270,148,63,0,41,029,001100,2,410290011002
"Block Group 1, Census Tract 11, Jackson County, Oregon",1223,1223,1002,0,0,0,0,0,221,0,221,521,452,69,1035,0,0,0,0,0,0,0,0,14,0,35,0,0,56,102,353,84,23,236,54,33,29,16,0,41,029,001100,1,410290011001
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",1475,1475,1452,0,0,0,0,0,23,0,23,515,396,119,1021,20,0,0,0,0,0,0,0,0,0,0,98,69,25,13,163,140,130,215,35,113,0,0,0,41,029,001301,1,410290013011
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",916,916,762,0,0,22,10,20,102,11,91,308,235,73,656,0,20,0,0,0,0,0,0,0,0,0,0,18,5,11,220,71,96,102,38,53,22,0,0,41,029,001301,3,410290013013
"Block Group 2, Census Tract 21, Jackson County, Oregon",843,843,755,45,0,20,0,10,13,0,13,444,165,279,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,9,56,94,34,171,159,71,36,41,029,002100,2,410290021002
"Block Group 3, Census Tract 21, Jackson County, Oregon",775,775,744,12,0,19,0,0,0,0,0,420,277,143,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,0,36,0,260,161,103,30,41,029,002100,3,410290021003
"Block Group 5, Census Tract 29, Jackson County, Oregon",1203,1203,1139,0,12,0,0,0,52,0,52,609,397,212,919,0,0,0,0,0,0,0,0,0,37,0,5,10,12,23,229,29,87,150,226,59,35,17,0,41,029,002900,5,410290029005
"Block Group 1, Census Tract 29, Jackson County, Oregon",811,811,773,0,0,13,0,17,8,0,8,392,244,148,672,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,165,18,37,140,89,107,37,37,0,41,029,002900,1,410290029001
"Block Group 2, Census Tract 29, Jackson County, Oregon",1712,1712,1581,31,21,13,0,0,66,0,66,711,613,98,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,328,38,174,275,232,336,66,21,32,41,029,002900,2,410290029002
"Block Group 6, Census Tract 29, Jackson County, Oregon",1066,1066,1066,0,0,0,0,0,0,0,0,381,270,111,801,0,0,0,0,0,0,0,0,0,0,0,23,0,12,0,230,0,53,230,35,138,18,0,62,41,029,002900,6,410290029006
"Block Group 3, Census Tract 18, Jackson County, Oregon",2513,2513,2301,19,0,46,0,39,108,0,108,1119,831,288,1788,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,161,29,170,376,105,503,316,58,48,41,029,001800,3,410290018003
"Block Group 1, Census Tract 18, Jackson County, Oregon",1564,1564,1539,0,0,25,0,0,0,0,0,722,488,234,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,152,16,124,232,118,229,299,14,23,41,029,001800,1,410290018001
"Block Group 2, Census Tract 18, Jackson County, Oregon",2470,2470,2308,0,0,60,0,0,102,0,102,1153,898,255,1941,19,0,0,0,0,0,0,0,18,24,16,0,0,0,0,137,30,199,252,41,624,355,127,99,41,029,001800,2,410290018002
"Block Group 2, Census Tract 20, Jackson County, Oregon",842,842,824,0,0,11,0,0,7,0,7,505,207,298,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,57,76,44,256,118,32,31,41,029,002000,2,410290020002
"Block Group 1, Census Tract 28, Jackson County, Oregon",1662,1662,1544,0,0,22,0,12,84,10,74,652,514,138,1301,8,0,0,0,0,0,0,0,0,0,0,8,67,27,66,315,53,170,162,118,249,37,21,0,41,029,002800,1,410290028001
"Block Group 3, Census Tract 28, Jackson County, Oregon",540,540,517,0,0,23,0,0,0,0,0,266,256,10,510,0,0,0,0,0,0,0,0,0,0,22,10,12,0,23,181,0,40,93,31,59,31,0,8,41,029,002800,3,410290028003
"Block Group 1, Census Tract 8, Jackson County, Oregon",3754,3754,3426,43,45,0,0,0,240,0,240,1536,897,639,2700,0,0,0,0,0,0,0,0,93,0,45,0,17,36,53,624,239,403,480,246,257,152,55,0,41,029,000800,1,410290008001
"Block Group 1, Census Tract 7, Jackson County, Oregon",1778,1778,1642,2,46,63,0,0,25,0,25,680,432,248,1247,0,0,0,0,0,0,0,0,0,14,21,0,0,3,0,358,100,128,231,98,128,113,34,19,41,029,000700,1,410290007001
"Block Group 2, Census Tract 7, Jackson County, Oregon",2478,2478,2182,0,0,0,0,136,160,90,70,1037,911,126,1788,0,0,0,0,0,0,0,0,44,0,0,0,27,74,51,516,61,244,454,95,56,147,19,0,41,029,000700,2,410290007002
"Block Group 2, Census Tract 500.01, Douglas County, Oregon",1728,1728,1692,3,9,0,0,0,24,0,24,765,561,204,1324,1,0,0,0,0,0,0,0,1,0,0,0,10,29,44,361,138,152,312,93,129,29,15,10,41,019,050001,2,410190500012
"Block Group 1, Census Tract 500.01, Douglas County, Oregon",700,700,677,9,0,0,0,0,14,0,14,303,294,9,588,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,111,19,105,74,153,24,56,0,0,41,019,050001,1,410190500011
"Block Group 4, Census Tract 500.01, Douglas County, Oregon",771,771,735,0,0,0,0,17,19,0,19,309,284,25,573,0,0,0,0,0,0,0,0,0,0,0,17,24,8,0,153,30,90,69,84,72,10,16,0,41,019,050001,4,410190500014
"Block Group 1, Census Tract 1800, Douglas County, Oregon",1181,1181,1013,7,25,0,0,0,136,0,136,454,388,66,875,8,0,0,0,0,0,0,0,0,0,0,1,42,8,46,268,45,103,114,77,117,33,13,0,41,019,180000,1,410191800001
"Block Group 4, Census Tract 1800, Douglas County, Oregon",694,694,556,0,21,0,0,0,117,0,117,237,89,148,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,89,157,49,47,0,0,0,0,41,019,180000,4,410191800004
"Block Group 1, Census Tract 9704, Klamath County, Oregon",1436,1436,1298,0,85,0,3,0,50,0,50,554,440,114,1047,8,0,0,0,0,0,5,0,12,0,4,4,51,17,9,370,53,62,192,48,156,40,5,11,41,035,970400,1,410359704001
"Block Group 2, Census Tract 9714, Klamath County, Oregon",1186,1186,974,0,21,0,0,0,191,0,191,413,235,178,704,14,0,0,0,0,0,0,0,0,0,24,0,12,0,13,137,14,57,115,268,29,20,0,1,41,035,971400,2,410359714002
"Block Group 3, Census Tract 9714, Klamath County, Oregon",557,557,499,0,14,0,0,0,44,0,44,230,164,66,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,125,0,39,26,57,80,68,20,0,41,035,971400,3,410359714003
"Block Group 4, Census Tract 9715, Klamath County, Oregon",989,989,529,34,65,73,0,176,112,102,10,375,162,213,516,49,0,0,0,0,0,0,0,0,0,14,24,18,57,0,69,39,53,105,10,68,0,0,10,41,035,971500,4,410359715004
"Block Group 1, Census Tract 9715, Klamath County, Oregon",665,665,584,0,70,0,0,0,11,11,0,269,163,106,474,0,13,0,0,0,0,0,0,0,0,11,0,0,0,27,103,0,43,71,161,26,0,0,19,41,035,971500,1,410359715001
"Block Group 5, Census Tract 9715, Klamath County, Oregon",1578,1578,1272,4,137,27,0,30,108,69,39,560,382,178,1007,10,0,0,0,0,0,0,0,0,0,0,30,15,25,61,387,21,97,128,107,95,31,0,0,41,035,971500,5,410359715005
"Block Group 2, Census Tract 9715, Klamath County, Oregon",675,675,484,0,11,0,0,74,106,22,84,352,168,184,509,0,0,0,0,0,0,8,0,10,0,0,0,52,14,18,103,45,10,121,47,33,10,10,28,41,035,971500,2,410359715002
"Block Group 3, Census Tract 9718, Klamath County, Oregon",812,812,679,41,51,0,0,36,5,0,5,371,36,335,585,0,0,0,0,0,0,0,0,0,0,18,26,31,46,36,156,87,36,111,17,21,0,0,0,41,035,971800,3,410359718003
"Block Group 1, Census Tract 9504, Lincoln County, Oregon",2049,2049,1798,40,10,0,0,82,119,0,119,901,450,451,1497,69,0,0,0,0,0,0,0,0,0,5,0,82,32,20,310,159,100,246,128,177,122,26,21,41,041,950400,1,410419504001
"Block Group 3, Census Tract 30.02, Jackson County, Oregon",1547,1547,1547,0,0,0,0,0,0,0,0,688,519,169,1258,50,0,0,0,0,0,0,0,0,0,12,0,31,0,26,100,34,71,267,110,261,222,48,26,41,029,003002,3,410290030023
"Block Group 1, Census Tract 9501, Lincoln County, Oregon",2193,2193,1994,0,66,7,0,27,99,0,99,884,610,274,1513,0,0,0,0,0,0,0,0,0,0,0,50,30,18,10,419,100,136,375,91,186,81,0,17,41,041,950100,1,410419501001
"Block Group 2, Census Tract 9501, Lincoln County, Oregon",931,931,869,0,48,0,0,0,14,10,4,456,364,92,803,0,0,0,0,0,0,0,0,0,0,10,11,4,0,17,184,73,116,170,54,115,39,0,10,41,041,950100,2,410419501002
"Block Group 1, Census Tract 9511, Lincoln County, Oregon",806,806,636,37,33,68,1,12,19,0,19,353,235,118,671,0,0,0,0,0,0,0,0,0,7,0,7,21,15,14,119,13,39,135,54,187,43,5,12,41,041,951100,1,410419511001
"Block Group 2, Census Tract 9511, Lincoln County, Oregon",1094,1094,956,0,9,17,0,33,79,45,34,466,322,144,765,10,0,0,0,0,0,0,0,17,0,0,0,0,0,18,132,38,71,164,93,122,43,27,30,41,041,951100,2,410419511002
"Block Group 1, Census Tract 9516, Lincoln County, Oregon",1368,1368,1237,0,0,0,10,0,121,0,121,611,444,167,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,273,48,80,348,54,94,69,5,12,41,041,951600,1,410419516001
"Block Group 3, Census Tract 9516, Lincoln County, Oregon",771,771,728,0,0,1,0,0,42,6,36,404,331,73,686,4,0,0,0,0,0,0,0,1,0,0,0,0,58,35,153,16,103,145,60,72,25,8,6,41,041,951600,3,410419516003
"Block Group 2, Census Tract 9516, Lincoln County, Oregon",1204,1204,1121,0,0,5,0,0,78,0,78,595,357,238,984,0,0,0,0,0,0,0,5,0,0,21,0,38,39,5,228,36,58,270,130,89,15,32,18,41,041,951600,2,410419516002
"Block Group 1, Census Tract 9509, Lincoln County, Oregon",959,959,634,0,59,5,0,221,40,0,40,326,171,155,607,0,12,0,0,5,0,0,44,1,0,8,38,11,0,0,83,0,24,112,63,112,83,0,11,41,041,950900,1,410419509001
"Block Group 3, Census Tract 9509, Lincoln County, Oregon",1219,1219,1145,0,0,8,0,0,66,0,66,464,254,210,812,0,0,0,0,0,0,0,0,0,0,0,0,0,42,26,233,20,58,142,51,139,74,27,0,41,041,950900,3,410419509003
"Block Group 2, Census Tract 9509, Lincoln County, Oregon",906,906,643,0,0,0,0,229,34,34,0,301,137,164,515,62,0,26,0,0,0,0,0,0,0,0,16,19,0,0,111,9,33,96,39,59,35,10,0,41,041,950900,2,410419509002
"Block Group 4, Census Tract 9509, Lincoln County, Oregon",834,834,799,23,0,0,0,0,12,0,12,390,226,164,620,10,0,0,0,0,0,0,0,39,0,0,30,0,10,12,114,24,41,101,25,98,94,13,9,41,041,950900,4,410419509004
"Block Group 2, Census Tract 9512, Lincoln County, Oregon",863,863,792,0,0,8,0,0,63,0,63,389,233,156,755,6,0,0,0,0,0,6,0,0,0,27,0,0,29,0,105,9,151,115,32,125,105,31,14,41,041,951200,2,410419512002
"Block Group 1, Census Tract 28, Marion County, Oregon",1416,1416,1308,0,0,31,0,64,13,0,13,520,412,108,1023,0,0,0,0,0,0,0,0,0,0,8,10,11,8,36,81,40,69,154,123,260,129,58,36,41,047,002800,1,410470028001
"Block Group 2, Census Tract 28, Marion County, Oregon",2923,2923,2523,59,56,42,0,0,243,27,216,1026,639,387,2035,0,0,0,0,0,0,0,0,0,29,0,30,14,31,0,354,86,219,349,206,357,275,57,28,41,047,002800,2,410470028002
"Block Group 2, Census Tract 101, Marion County, Oregon",661,661,599,0,3,23,0,6,30,0,30,209,132,77,490,12,0,0,0,0,2,0,0,0,0,11,0,0,11,8,129,4,26,77,61,110,12,20,7,41,047,010100,2,410470101002
"Block Group 1, Census Tract 106, Marion County, Oregon",230,230,226,0,2,0,0,2,0,0,0,109,73,36,180,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,62,11,13,23,4,48,8,0,0,41,047,010600,1,410470106001
"Block Group 2, Census Tract 222.01, Clackamas County, Oregon",2983,2983,1893,66,225,83,0,230,486,364,122,1582,233,1349,2126,23,0,0,0,0,0,0,0,15,0,126,29,93,43,75,632,56,70,282,104,351,184,0,43,41,005,022201,2,410050222012
"Block Group 1, Census Tract 222.01, Clackamas County, Oregon",538,538,471,0,14,0,0,0,53,43,10,202,119,83,325,0,0,0,0,0,0,0,0,0,0,16,0,42,52,0,36,22,40,15,45,30,27,0,0,41,005,022201,1,410050222011
"Block Group 2, Census Tract 235, Clackamas County, Oregon",1652,1652,1595,0,0,0,0,0,57,0,57,534,534,0,1340,0,0,0,0,0,0,0,0,0,0,0,35,105,112,55,355,150,36,181,76,162,52,21,0,41,005,023500,2,410050235002
"Block Group 5, Census Tract 235, Clackamas County, Oregon",1090,1090,1090,0,0,0,0,0,0,0,0,373,289,84,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,249,0,108,85,100,70,62,0,0,41,005,023500,5,410050235005
"Block Group 1, Census Tract 235, Clackamas County, Oregon",1471,1471,1419,0,16,0,0,36,0,0,0,533,428,105,1151,0,0,0,0,0,0,0,0,0,0,0,0,57,73,0,396,77,192,191,104,39,22,0,0,41,005,023500,1,410050235001
"Block Group 1, Census Tract 238, Clackamas County, Oregon",1475,1475,1461,0,0,14,0,0,0,0,0,463,403,60,1035,0,0,0,0,0,0,0,0,0,0,17,0,0,0,47,264,42,47,160,120,156,130,52,0,41,005,023800,1,410050238001
"Block Group 3, Census Tract 238, Clackamas County, Oregon",642,642,642,0,0,0,0,0,0,0,0,200,174,26,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,26,65,180,71,0,0,41,005,023800,3,410050238003
"Block Group 5, Census Tract 238, Clackamas County, Oregon",1151,1151,1106,0,0,0,0,0,45,0,45,410,310,100,853,14,0,0,0,0,0,0,0,0,0,0,20,0,33,53,269,62,47,119,158,42,36,0,0,41,005,023800,5,410050238005
"Block Group 2, Census Tract 216.01, Clackamas County, Oregon",3097,3097,2700,0,0,0,0,259,138,0,138,1307,540,767,1858,29,0,0,9,0,0,0,0,52,0,88,0,68,166,12,403,160,121,335,123,237,34,0,21,41,005,021601,2,410050216012
"Block Group 3, Census Tract 216.01, Clackamas County, Oregon",1386,1386,1369,0,0,17,0,0,0,0,0,469,289,180,965,0,0,0,0,0,0,0,0,0,0,0,0,17,26,16,296,79,78,210,87,77,31,20,28,41,005,021601,3,410050216013
"Block Group 3, Census Tract 9701, Klamath County, Oregon",553,553,549,0,4,0,0,0,0,0,0,282,106,176,464,0,0,0,0,0,0,0,0,19,0,0,24,0,0,0,114,67,0,87,111,37,5,0,0,41,035,970100,3,410359701003
"Block Group 1, Census Tract 9701, Klamath County, Oregon",600,600,548,26,0,0,0,0,26,0,26,192,122,70,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,116,0,0,195,7,60,7,0,0,41,035,970100,1,410359701001
"Block Group 2, Census Tract 30.02, Jackson County, Oregon",1500,1500,1340,0,0,28,0,12,120,0,120,625,438,187,1179,0,0,0,0,0,0,0,45,0,0,0,0,0,83,25,196,0,111,98,116,352,95,58,0,41,029,003002,2,410290030022
"Block Group 1, Census Tract 25, Jackson County, Oregon",1097,1097,1026,54,7,10,0,0,0,0,0,475,444,31,923,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,87,29,17,202,43,314,103,54,46,41,029,002500,1,410290025001
"Block Group 2, Census Tract 25, Jackson County, Oregon",695,695,669,12,0,0,0,0,14,0,14,306,261,45,500,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,75,11,48,96,53,79,113,7,6,41,029,002500,2,410290025002
"Block Group 2, Census Tract 9, Jackson County, Oregon",2849,2849,2670,0,0,81,98,0,0,0,0,1059,810,249,1990,66,0,0,0,0,0,59,46,0,0,0,38,13,15,0,368,45,272,346,124,353,155,80,10,41,029,000900,2,410290009002
"Block Group 1, Census Tract 9, Jackson County, Oregon",1122,1122,1122,0,0,0,0,0,0,0,0,426,354,72,828,0,0,0,0,0,0,0,0,0,0,21,0,0,24,12,135,27,89,185,65,151,90,0,29,41,029,000900,1,410290009001
"Block Group 1, Census Tract 14, Jackson County, Oregon",4417,4417,4204,119,0,0,0,0,94,0,94,1814,1372,442,3173,0,0,0,0,0,0,0,0,0,0,0,0,61,0,23,513,144,303,622,552,634,241,30,50,41,029,001400,1,410290014001
"Block Group 2, Census Tract 23, Jackson County, Oregon",969,969,885,0,11,0,0,12,61,0,61,388,355,33,744,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,145,10,40,136,81,187,73,36,23,41,029,002300,2,410290023002
"Block Group 1, Census Tract 2.01, Jackson County, Oregon",1200,1200,1113,17,16,26,0,9,19,0,19,456,80,376,687,7,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,53,97,200,92,37,11,0,0,41,029,000201,1,410290002011
"Block Group 3, Census Tract 2.01, Jackson County, Oregon",1668,1668,1504,16,40,0,0,0,108,0,108,542,53,489,1114,6,0,0,0,0,0,0,0,46,0,0,6,91,93,63,303,122,77,183,59,46,11,0,8,41,029,000201,3,410290002013
"Block Group 1, Census Tract 15, Jackson County, Oregon",1048,1048,884,0,0,0,0,164,0,0,0,359,304,55,714,0,0,0,0,0,0,0,36,0,0,0,33,0,0,0,38,15,65,58,53,238,115,33,30,41,029,001500,1,410290015001
"Block Group 2, Census Tract 15, Jackson County, Oregon",1725,1725,1725,0,0,0,0,0,0,0,0,822,649,173,1563,0,0,0,0,0,0,0,0,0,58,0,0,87,0,15,280,37,137,406,34,316,89,54,50,41,029,001500,2,410290015002
"Block Group 2, Census Tract 24, Jackson County, Oregon",772,772,740,10,0,12,0,0,10,0,10,339,284,55,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109,0,38,93,53,204,58,20,10,41,029,002400,2,410290024002
"Block Group 1, Census Tract 9505, Umatilla County, Oregon",1785,1785,1550,31,56,16,0,24,108,45,63,656,319,337,981,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,185,94,57,187,107,207,48,40,16,41,059,950500,1,410599505001
"Block Group 2, Census Tract 9505, Umatilla County, Oregon",1554,1554,1372,6,75,21,0,0,80,0,80,654,474,180,1047,0,0,0,0,0,12,0,0,0,6,0,0,51,20,16,264,24,93,202,265,71,23,0,0,41,059,950500,2,410599505002
"Block Group 3, Census Tract 9505, Umatilla County, Oregon",356,356,308,11,25,0,0,0,12,0,12,154,122,32,319,6,0,0,0,0,0,0,0,0,0,0,0,9,4,6,68,5,60,59,40,48,11,0,3,41,059,950500,3,410599505003
"Block Group 2, Census Tract 9507, Umatilla County, Oregon",803,803,576,0,2,2,0,199,24,0,24,317,90,227,544,12,0,0,0,0,0,0,0,54,0,0,5,83,1,0,123,55,35,100,10,66,0,0,0,41,059,950700,2,410599507002
"Block Group 1, Census Tract 9507, Umatilla County, Oregon",892,892,839,0,13,0,0,14,26,0,26,408,173,235,635,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,290,52,94,34,96,40,5,9,0,41,059,950700,1,410599507001
"Block Group 3, Census Tract 9507, Umatilla County, Oregon",879,879,738,0,28,85,0,0,28,9,19,295,174,121,618,0,0,0,0,0,0,0,0,15,0,31,0,5,21,0,211,56,31,56,65,107,20,0,0,41,059,950700,3,410599507003
"Block Group 2, Census Tract 9509, Umatilla County, Oregon",986,986,840,0,31,0,0,91,24,24,0,365,239,126,643,18,0,0,0,0,0,0,0,43,0,0,50,0,13,0,121,25,93,68,86,69,57,0,0,41,059,950900,2,410599509002
"Block Group 3, Census Tract 9509, Umatilla County, Oregon",2741,2741,2677,7,0,0,0,41,16,0,16,879,731,148,1639,0,0,0,0,0,0,84,0,0,0,0,10,72,35,38,339,127,146,341,145,240,62,0,0,41,059,950900,3,410599509003
"Block Group 1, Census Tract 9509, Umatilla County, Oregon",1250,1250,1103,135,0,0,0,0,12,12,0,494,137,357,709,92,0,0,33,0,0,0,0,0,21,67,0,33,0,13,74,98,50,147,50,10,21,0,0,41,059,950900,1,410599509001
"Block Group 1, Census Tract 9502, Umatilla County, Oregon",1365,1365,1145,0,18,7,0,77,118,0,118,497,355,142,835,0,0,0,0,0,0,0,0,77,34,14,0,0,52,0,189,81,85,132,27,45,99,0,0,41,059,950200,1,410599502001
"Block Group 3, Census Tract 9502, Umatilla County, Oregon",1539,1539,1201,0,68,0,0,156,114,61,53,436,258,178,786,20,0,0,0,0,0,0,14,19,0,0,64,64,0,0,228,8,45,70,140,77,37,0,0,41,059,950200,3,410599502003
"Block Group 5, Census Tract 9502, Umatilla County, Oregon",1394,1394,1174,0,0,0,0,220,0,0,0,401,249,152,726,13,0,0,0,0,0,6,0,102,0,0,0,0,53,21,42,80,133,77,118,58,23,0,0,41,059,950200,5,410599502005
"Block Group 4, Census Tract 9502, Umatilla County, Oregon",935,935,606,0,259,31,0,39,0,0,0,357,188,169,565,0,0,0,0,0,0,0,0,0,0,0,25,13,76,0,167,45,14,69,21,96,7,0,32,41,059,950200,4,410599502004
"Block Group 2, Census Tract 9502, Umatilla County, Oregon",1468,1468,1307,0,73,0,0,43,45,0,45,490,307,183,740,39,0,0,0,0,0,38,0,50,0,0,0,0,0,22,248,16,36,106,50,97,38,0,0,41,059,950200,2,410599502002
"Block Group 6, Census Tract 9502, Umatilla County, Oregon",336,336,336,0,0,0,0,0,0,0,0,206,151,55,312,0,0,0,0,0,0,0,0,2,0,0,0,21,35,0,70,0,20,87,45,32,0,0,0,41,059,950200,6,410599502006
"Block Group 1, Census Tract 9514, Umatilla County, Oregon",1490,1490,1371,0,60,0,5,0,54,0,54,602,474,128,1075,17,0,0,0,0,0,0,0,0,0,14,4,42,30,5,327,51,68,153,119,173,55,0,17,41,059,951400,1,410599514001
"Block Group 2, Census Tract 108.02, Marion County, Oregon",1731,1731,1223,41,0,47,0,0,420,42,378,534,430,104,1004,0,0,0,0,0,0,0,0,43,0,0,0,0,0,19,210,0,38,118,99,383,76,0,18,41,047,010802,2,410470108022
"Block Group 4, Census Tract 108.02, Marion County, Oregon",2752,2752,2183,0,22,24,0,410,113,21,92,862,677,185,1875,26,0,0,0,4,34,12,5,103,0,5,36,10,11,37,440,110,200,312,160,275,84,11,0,41,047,010802,4,410470108024
"Block Group 4, Census Tract 18.01, Marion County, Oregon",1948,1948,929,21,0,0,15,444,539,19,520,522,362,160,1065,132,0,0,0,62,139,0,18,0,0,66,54,0,13,0,178,30,97,221,12,43,0,0,0,41,047,001801,4,410470018014
"Block Group 3, Census Tract 18.01, Marion County, Oregon",1503,1503,1296,0,0,166,0,16,25,0,25,476,347,129,1040,0,0,0,0,0,14,0,0,0,0,59,50,0,46,0,430,70,91,155,45,80,0,0,0,41,047,001801,3,410470018013
"Block Group 2, Census Tract 18.01, Marion County, Oregon",1743,1743,1095,126,22,0,0,250,250,0,250,765,168,597,1299,35,0,0,0,0,0,0,0,0,0,0,18,0,52,111,403,75,117,359,14,71,44,0,0,41,047,001801,2,410470018012
"Block Group 1, Census Tract 228, Clackamas County, Oregon",1004,1004,936,0,29,24,0,0,15,0,15,583,192,391,736,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,123,0,80,135,24,183,102,75,0,41,005,022800,1,410050228001
"Block Group 3, Census Tract 228, Clackamas County, Oregon",643,643,603,0,0,40,0,0,0,0,0,279,227,52,559,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,97,0,49,116,78,157,0,16,20,41,005,022800,3,410050228003
"Block Group 2, Census Tract 232.02, Clackamas County, Oregon",1899,1899,1790,0,0,0,0,0,109,0,109,717,687,30,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,442,49,100,254,117,322,42,63,0,41,005,023202,2,410050232022
"Block Group 2, Census Tract 302.02, Yamhill County, Oregon",877,877,808,1,33,33,0,2,0,0,0,353,191,162,601,2,0,0,0,0,0,0,0,0,23,0,12,57,0,0,50,53,116,24,125,107,17,15,0,41,071,030202,2,410710302022
"Block Group 1, Census Tract 302.02, Yamhill County, Oregon",2440,2440,2262,0,20,0,0,71,87,19,68,915,531,384,1793,0,0,0,0,0,4,0,0,57,0,45,49,79,41,42,214,17,282,423,160,306,74,0,0,41,071,030202,1,410710302021
