,NAME,tot_pop,race_tot,race_white,race_black,race_indig,race_asian,race_isl,race_oth,race_2+,race_2+inc,race_2_3+,tenu_tot,tenu_own,tenu_rent,edu_tot,edu_none,edu_nurs,edu_kind,edu_1st,edu_2nd,edu_3rd,edu_4th,edu_5th,edu_6th,edu_7th,edu_8th,edu_9th,edu_10th,edu_11th,edu_12_nodip,edu_hsdip,edu_ged,edu_coll<1,edu_coll>1,edu_assoc,edu_bach,edu_mast,edu_prof,edu_doct,comp_tot,comp_has,comp_dial,comp_bro,comp_noint,comp_no,state,county,tract,block group,GEOID,tenu_p-rent,race_nonw,race_prop
26,"Block Group 1, Census Tract 8, Jackson County, Oregon",3754,3754,3426,43,45,0,0,0,240,0,240,1536,897,639,2700,0,0,0,0,0,0,0,0,93,0,45,0,17,36,53,624,239,403,480,246,257,152,55,0,1536,1453,0,1412,41,83,41,29,800,1,410290008001,0.416015625,328,0.08737346830047948
27,"Block Group 1, Census Tract 7, Jackson County, Oregon",1778,1778,1642,2,46,63,0,0,25,0,25,680,432,248,1247,0,0,0,0,0,0,0,0,0,14,21,0,0,3,0,358,100,128,231,98,128,113,34,19,680,644,0,630,14,36,41,29,700,1,410290007001,0.36470588235294116,136,0.0764904386951631
28,"Block Group 2, Census Tract 7, Jackson County, Oregon",2478,2478,2182,0,0,0,0,136,160,90,70,1037,911,126,1788,0,0,0,0,0,0,0,0,44,0,0,0,27,74,51,516,61,244,454,95,56,147,19,0,1037,986,0,970,16,51,41,29,700,2,410290007002,0.12150433944069432,296,0.11945117029862792
29,"Block Group 2, Census Tract 500.01, Douglas County, Oregon",1728,1728,1692,3,9,0,0,0,24,0,24,765,561,204,1324,1,0,0,0,0,0,0,0,1,0,0,0,10,29,44,361,138,152,312,93,129,29,15,10,765,765,18,740,7,0,41,19,50001,2,410190500012,0.26666666666666666,36,0.020833333333333332
30,"Block Group 1, Census Tract 500.01, Douglas County, Oregon",700,700,677,9,0,0,0,0,14,0,14,303,294,9,588,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,111,19,105,74,153,24,56,0,0,303,277,9,255,13,26,41,19,50001,1,410190500011,0.0297029702970297,23,0.032857142857142856
31,"Block Group 4, Census Tract 500.01, Douglas County, Oregon",771,771,735,0,0,0,0,17,19,0,19,309,284,25,573,0,0,0,0,0,0,0,0,0,0,0,17,24,8,0,153,30,90,69,84,72,10,16,0,309,282,0,256,26,27,41,19,50001,4,410190500014,0.08090614886731391,36,0.04669260700389105
32,"Block Group 1, Census Tract 1800, Douglas County, Oregon",1181,1181,1013,7,25,0,0,0,136,0,136,454,388,66,875,8,0,0,0,0,0,0,0,0,0,0,1,42,8,46,268,45,103,114,77,117,33,13,0,454,445,0,393,52,9,41,19,180000,1,410191800001,0.14537444933920704,168,0.14225232853513972
33,"Block Group 4, Census Tract 1800, Douglas County, Oregon",694,694,556,0,21,0,0,0,117,0,117,237,89,148,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,89,157,49,47,0,0,0,0,237,237,0,192,45,0,41,19,180000,4,410191800004,0.6244725738396625,138,0.1988472622478386
34,"Block Group 1, Census Tract 9704, Klamath County, Oregon",1436,1436,1298,0,85,0,3,0,50,0,50,554,440,114,1047,8,0,0,0,0,0,5,0,12,0,4,4,51,17,9,370,53,62,192,48,156,40,5,11,554,499,0,432,67,55,41,35,970400,1,410359704001,0.20577617328519857,138,0.09610027855153204
35,"Block Group 2, Census Tract 9714, Klamath County, Oregon",1186,1186,974,0,21,0,0,0,191,0,191,413,235,178,704,14,0,0,0,0,0,0,0,0,0,24,0,12,0,13,137,14,57,115,268,29,20,0,1,413,375,0,375,0,38,41,35,971400,2,410359714002,0.43099273607748184,212,0.178752107925801
36,"Block Group 3, Census Tract 9714, Klamath County, Oregon",557,557,499,0,14,0,0,0,44,0,44,230,164,66,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,125,0,39,26,57,80,68,20,0,230,230,0,156,74,0,41,35,971400,3,410359714003,0.28695652173913044,58,0.10412926391382406
37,"Block Group 4, Census Tract 9715, Klamath County, Oregon",989,989,529,34,65,73,0,176,112,102,10,375,162,213,516,49,0,0,0,0,0,0,0,0,0,14,24,18,57,0,69,39,53,105,10,68,0,0,10,375,375,0,315,60,0,41,35,971500,4,410359715004,0.568,460,0.46511627906976744
38,"Block Group 1, Census Tract 9715, Klamath County, Oregon",665,665,584,0,70,0,0,0,11,11,0,269,163,106,474,0,13,0,0,0,0,0,0,0,0,11,0,0,0,27,103,0,43,71,161,26,0,0,19,269,248,0,182,66,21,41,35,971500,1,410359715001,0.3940520446096654,81,0.12180451127819548
39,"Block Group 5, Census Tract 9715, Klamath County, Oregon",1578,1578,1272,4,137,27,0,30,108,69,39,560,382,178,1007,10,0,0,0,0,0,0,0,0,0,0,30,15,25,61,387,21,97,128,107,95,31,0,0,560,480,0,408,72,80,41,35,971500,5,410359715005,0.31785714285714284,306,0.19391634980988592
40,"Block Group 2, Census Tract 9715, Klamath County, Oregon",675,675,484,0,11,0,0,74,106,22,84,352,168,184,509,0,0,0,0,0,0,8,0,10,0,0,0,52,14,18,103,45,10,121,47,33,10,10,28,352,311,0,230,81,41,41,35,971500,2,410359715002,0.5227272727272727,191,0.28296296296296297
41,"Block Group 3, Census Tract 9718, Klamath County, Oregon",812,812,679,41,51,0,0,36,5,0,5,371,36,335,585,0,0,0,0,0,0,0,0,0,0,18,26,31,46,36,156,87,36,111,17,21,0,0,0,371,299,0,275,24,72,41,35,971800,3,410359718003,0.9029649595687331,133,0.16379310344827586
42,"Block Group 1, Census Tract 9504, Lincoln County, Oregon",2049,2049,1798,40,10,0,0,82,119,0,119,901,450,451,1497,69,0,0,0,0,0,0,0,0,0,5,0,82,32,20,310,159,100,246,128,177,122,26,21,901,778,0,749,29,123,41,41,950400,1,410419504001,0.5005549389567148,251,0.12249877989263055
43,"Block Group 3, Census Tract 30.02, Jackson County, Oregon",1547,1547,1547,0,0,0,0,0,0,0,0,688,519,169,1258,50,0,0,0,0,0,0,0,0,0,12,0,31,0,26,100,34,71,267,110,261,222,48,26,688,665,0,645,20,23,41,29,3002,3,410290030023,0.24563953488372092,0,0.0
44,"Block Group 1, Census Tract 9501, Lincoln County, Oregon",2193,2193,1994,0,66,7,0,27,99,0,99,884,610,274,1513,0,0,0,0,0,0,0,0,0,0,0,50,30,18,10,419,100,136,375,91,186,81,0,17,884,794,0,650,144,90,41,41,950100,1,410419501001,0.30995475113122173,199,0.09074327405380757
45,"Block Group 2, Census Tract 9501, Lincoln County, Oregon",931,931,869,0,48,0,0,0,14,10,4,456,364,92,803,0,0,0,0,0,0,0,0,0,0,10,11,4,0,17,184,73,116,170,54,115,39,0,10,456,407,7,392,8,49,41,41,950100,2,410419501002,0.20175438596491227,62,0.06659505907626208
46,"Block Group 1, Census Tract 9511, Lincoln County, Oregon",806,806,636,37,33,68,1,12,19,0,19,353,235,118,671,0,0,0,0,0,0,0,0,0,7,0,7,21,15,14,119,13,39,135,54,187,43,5,12,353,342,0,315,27,11,41,41,951100,1,410419511001,0.3342776203966006,170,0.2109181141439206
47,"Block Group 2, Census Tract 9511, Lincoln County, Oregon",1094,1094,956,0,9,17,0,33,79,45,34,466,322,144,765,10,0,0,0,0,0,0,0,17,0,0,0,0,0,18,132,38,71,164,93,122,43,27,30,466,431,0,409,22,35,41,41,951100,2,410419511002,0.3090128755364807,138,0.12614259597806216
48,"Block Group 1, Census Tract 9516, Lincoln County, Oregon",1368,1368,1237,0,0,0,10,0,121,0,121,611,444,167,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,273,48,80,348,54,94,69,5,12,611,558,5,461,92,53,41,41,951600,1,410419516001,0.2733224222585925,131,0.09576023391812866
49,"Block Group 3, Census Tract 9516, Lincoln County, Oregon",771,771,728,0,0,1,0,0,42,6,36,404,331,73,686,4,0,0,0,0,0,0,0,1,0,0,0,0,58,35,153,16,103,145,60,72,25,8,6,404,349,0,302,47,55,41,41,951600,3,410419516003,0.1806930693069307,43,0.055771725032425425
50,"Block Group 2, Census Tract 9516, Lincoln County, Oregon",1204,1204,1121,0,0,5,0,0,78,0,78,595,357,238,984,0,0,0,0,0,0,0,5,0,0,21,0,38,39,5,228,36,58,270,130,89,15,32,18,595,529,4,475,50,66,41,41,951600,2,410419516002,0.4,83,0.06893687707641195
51,"Block Group 1, Census Tract 9509, Lincoln County, Oregon",959,959,634,0,59,5,0,221,40,0,40,326,171,155,607,0,12,0,0,5,0,0,44,1,0,8,38,11,0,0,83,0,24,112,63,112,83,0,11,326,314,14,300,0,12,41,41,950900,1,410419509001,0.4754601226993865,325,0.33889468196037537
52,"Block Group 3, Census Tract 9509, Lincoln County, Oregon",1219,1219,1145,0,0,8,0,0,66,0,66,464,254,210,812,0,0,0,0,0,0,0,0,0,0,0,0,0,42,26,233,20,58,142,51,139,74,27,0,464,427,0,379,48,37,41,41,950900,3,410419509003,0.4525862068965517,74,0.06070549630844955
53,"Block Group 2, Census Tract 9509, Lincoln County, Oregon",906,906,643,0,0,0,0,229,34,34,0,301,137,164,515,62,0,26,0,0,0,0,0,0,0,0,16,19,0,0,111,9,33,96,39,59,35,10,0,301,280,0,280,0,21,41,41,950900,2,410419509002,0.5448504983388704,263,0.2902869757174393
54,"Block Group 4, Census Tract 9509, Lincoln County, Oregon",834,834,799,23,0,0,0,0,12,0,12,390,226,164,620,10,0,0,0,0,0,0,0,39,0,0,30,0,10,12,114,24,41,101,25,98,94,13,9,390,378,0,333,45,12,41,41,950900,4,410419509004,0.4205128205128205,35,0.04196642685851319
55,"Block Group 2, Census Tract 9512, Lincoln County, Oregon",863,863,792,0,0,8,0,0,63,0,63,389,233,156,755,6,0,0,0,0,0,6,0,0,0,27,0,0,29,0,105,9,151,115,32,125,105,31,14,389,364,0,357,7,25,41,41,951200,2,410419512002,0.40102827763496146,71,0.08227114716106605
56,"Block Group 1, Census Tract 28, Marion County, Oregon",1416,1416,1308,0,0,31,0,64,13,0,13,520,412,108,1023,0,0,0,0,0,0,0,0,0,0,8,10,11,8,36,81,40,69,154,123,260,129,58,36,520,477,0,453,24,43,41,47,2800,1,410470028001,0.2076923076923077,108,0.07627118644067797
57,"Block Group 2, Census Tract 28, Marion County, Oregon",2923,2923,2523,59,56,42,0,0,243,27,216,1026,639,387,2035,0,0,0,0,0,0,0,0,0,29,0,30,14,31,0,354,86,219,349,206,357,275,57,28,1026,1008,0,979,29,18,41,47,2800,2,410470028002,0.37719298245614036,400,0.13684570646595964
58,"Block Group 2, Census Tract 101, Marion County, Oregon",661,661,599,0,3,23,0,6,30,0,30,209,132,77,490,12,0,0,0,0,2,0,0,0,0,11,0,0,11,8,129,4,26,77,61,110,12,20,7,209,194,5,176,13,15,41,47,10100,2,410470101002,0.3684210526315789,62,0.09379727685325265
59,"Block Group 1, Census Tract 106, Marion County, Oregon",230,230,226,0,2,0,0,2,0,0,0,109,73,36,180,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,62,11,13,23,4,48,8,0,0,109,96,11,82,3,13,41,47,10600,1,410470106001,0.3302752293577982,4,0.017391304347826087
60,"Block Group 2, Census Tract 222.01, Clackamas County, Oregon",2983,2983,1893,66,225,83,0,230,486,364,122,1582,233,1349,2126,23,0,0,0,0,0,0,0,15,0,126,29,93,43,75,632,56,70,282,104,351,184,0,43,1582,1262,0,1052,210,320,41,5,22201,2,410050222012,0.8527180783817951,1090,0.3654039557492457
61,"Block Group 1, Census Tract 222.01, Clackamas County, Oregon",538,538,471,0,14,0,0,0,53,43,10,202,119,83,325,0,0,0,0,0,0,0,0,0,0,16,0,42,52,0,36,22,40,15,45,30,27,0,0,202,142,0,142,0,60,41,5,22201,1,410050222011,0.41089108910891087,67,0.12453531598513011
62,"Block Group 2, Census Tract 235, Clackamas County, Oregon",1652,1652,1595,0,0,0,0,0,57,0,57,534,534,0,1340,0,0,0,0,0,0,0,0,0,0,0,35,105,112,55,355,150,36,181,76,162,52,21,0,534,518,0,482,36,16,41,5,23500,2,410050235002,0.0,57,0.03450363196125908
63,"Block Group 5, Census Tract 235, Clackamas County, Oregon",1090,1090,1090,0,0,0,0,0,0,0,0,373,289,84,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,249,0,108,85,100,70,62,0,0,373,355,0,311,44,18,41,5,23500,5,410050235005,0.225201072386059,0,0.0
64,"Block Group 1, Census Tract 235, Clackamas County, Oregon",1471,1471,1419,0,16,0,0,36,0,0,0,533,428,105,1151,0,0,0,0,0,0,0,0,0,0,0,0,57,73,0,396,77,192,191,104,39,22,0,0,533,533,0,533,0,0,41,5,23500,1,410050235001,0.19699812382739212,52,0.03535010197144799
65,"Block Group 1, Census Tract 238, Clackamas County, Oregon",1475,1475,1461,0,0,14,0,0,0,0,0,463,403,60,1035,0,0,0,0,0,0,0,0,0,0,17,0,0,0,47,264,42,47,160,120,156,130,52,0,463,432,0,416,16,31,41,5,23800,1,410050238001,0.12958963282937366,14,0.009491525423728813
66,"Block Group 3, Census Tract 238, Clackamas County, Oregon",642,642,642,0,0,0,0,0,0,0,0,200,174,26,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,26,65,180,71,0,0,200,200,0,200,0,0,41,5,23800,3,410050238003,0.13,0,0.0
67,"Block Group 5, Census Tract 238, Clackamas County, Oregon",1151,1151,1106,0,0,0,0,0,45,0,45,410,310,100,853,14,0,0,0,0,0,0,0,0,0,0,20,0,33,53,269,62,47,119,158,42,36,0,0,410,393,0,317,76,17,41,5,23800,5,410050238005,0.24390243902439024,45,0.03909643788010426
68,"Block Group 2, Census Tract 216.01, Clackamas County, Oregon",3097,3097,2700,0,0,0,0,259,138,0,138,1307,540,767,1858,29,0,0,9,0,0,0,0,52,0,88,0,68,166,12,403,160,121,335,123,237,34,0,21,1307,1286,0,1092,194,21,41,5,21601,2,410050216012,0.586840091813313,397,0.12818856958346786
69,"Block Group 3, Census Tract 216.01, Clackamas County, Oregon",1386,1386,1369,0,0,17,0,0,0,0,0,469,289,180,965,0,0,0,0,0,0,0,0,0,0,0,0,17,26,16,296,79,78,210,87,77,31,20,28,469,453,0,453,0,16,41,5,21601,3,410050216013,0.3837953091684435,17,0.012265512265512266
70,"Block Group 3, Census Tract 9701, Klamath County, Oregon",553,553,549,0,4,0,0,0,0,0,0,282,106,176,464,0,0,0,0,0,0,0,0,19,0,0,24,0,0,0,114,67,0,87,111,37,5,0,0,282,237,0,181,56,45,41,35,970100,3,410359701003,0.624113475177305,4,0.007233273056057866
71,"Block Group 1, Census Tract 9701, Klamath County, Oregon",600,600,548,26,0,0,0,0,26,0,26,192,122,70,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,116,0,0,195,7,60,7,0,0,192,192,0,111,81,0,41,35,970100,1,410359701001,0.3645833333333333,52,0.08666666666666667
72,"Block Group 2, Census Tract 30.02, Jackson County, Oregon",1500,1500,1340,0,0,28,0,12,120,0,120,625,438,187,1179,0,0,0,0,0,0,0,45,0,0,0,0,0,83,25,196,0,111,98,116,352,95,58,0,625,567,13,428,126,58,41,29,3002,2,410290030022,0.2992,160,0.10666666666666667
73,"Block Group 1, Census Tract 25, Jackson County, Oregon",1097,1097,1026,54,7,10,0,0,0,0,0,475,444,31,923,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,87,29,17,202,43,314,103,54,46,475,461,15,413,33,14,41,29,2500,1,410290025001,0.06526315789473684,71,0.06472196900638104
74,"Block Group 2, Census Tract 25, Jackson County, Oregon",695,695,669,12,0,0,0,0,14,0,14,306,261,45,500,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,75,11,48,96,53,79,113,7,6,306,279,15,235,29,27,41,29,2500,2,410290025002,0.14705882352941177,26,0.03741007194244604
75,"Block Group 2, Census Tract 9, Jackson County, Oregon",2849,2849,2670,0,0,81,98,0,0,0,0,1059,810,249,1990,66,0,0,0,0,0,59,46,0,0,0,38,13,15,0,368,45,272,346,124,353,155,80,10,1059,872,13,696,163,187,41,29,900,2,410290009002,0.23512747875354106,179,0.06282906282906282
76,"Block Group 1, Census Tract 9, Jackson County, Oregon",1122,1122,1122,0,0,0,0,0,0,0,0,426,354,72,828,0,0,0,0,0,0,0,0,0,0,21,0,0,24,12,135,27,89,185,65,151,90,0,29,426,412,0,393,19,14,41,29,900,1,410290009001,0.16901408450704225,0,0.0
77,"Block Group 1, Census Tract 14, Jackson County, Oregon",4417,4417,4204,119,0,0,0,0,94,0,94,1814,1372,442,3173,0,0,0,0,0,0,0,0,0,0,0,0,61,0,23,513,144,303,622,552,634,241,30,50,1814,1713,0,1637,76,101,41,29,1400,1,410290014001,0.24366041896361632,213,0.048222775639574375
78,"Block Group 2, Census Tract 23, Jackson County, Oregon",969,969,885,0,11,0,0,12,61,0,61,388,355,33,744,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,145,10,40,136,81,187,73,36,23,388,377,19,354,4,11,41,29,2300,2,410290023002,0.08505154639175258,84,0.08668730650154799
79,"Block Group 1, Census Tract 2.01, Jackson County, Oregon",1200,1200,1113,17,16,26,0,9,19,0,19,456,80,376,687,7,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,53,97,200,92,37,11,0,0,456,424,0,348,76,32,41,29,201,1,410290002011,0.8245614035087719,87,0.0725
80,"Block Group 3, Census Tract 2.01, Jackson County, Oregon",1668,1668,1504,16,40,0,0,0,108,0,108,542,53,489,1114,6,0,0,0,0,0,0,0,46,0,0,6,91,93,63,303,122,77,183,59,46,11,0,8,542,472,0,451,21,70,41,29,201,3,410290002013,0.9022140221402214,164,0.09832134292565947
81,"Block Group 1, Census Tract 15, Jackson County, Oregon",1048,1048,884,0,0,0,0,164,0,0,0,359,304,55,714,0,0,0,0,0,0,0,36,0,0,0,33,0,0,0,38,15,65,58,53,238,115,33,30,359,359,0,343,16,0,41,29,1500,1,410290015001,0.1532033426183844,164,0.15648854961832062
82,"Block Group 2, Census Tract 15, Jackson County, Oregon",1725,1725,1725,0,0,0,0,0,0,0,0,822,649,173,1563,0,0,0,0,0,0,0,0,0,58,0,0,87,0,15,280,37,137,406,34,316,89,54,50,822,755,0,645,110,67,41,29,1500,2,410290015002,0.21046228710462286,0,0.0
83,"Block Group 2, Census Tract 24, Jackson County, Oregon",772,772,740,10,0,12,0,0,10,0,10,339,284,55,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109,0,38,93,53,204,58,20,10,339,316,5,266,45,23,41,29,2400,2,410290024002,0.16224188790560473,32,0.04145077720207254
84,"Block Group 1, Census Tract 9505, Umatilla County, Oregon",1785,1785,1550,31,56,16,0,24,108,45,63,656,319,337,981,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,185,94,57,187,107,207,48,40,16,656,601,0,490,111,55,41,59,950500,1,410599505001,0.5137195121951219,235,0.13165266106442577
