NAME,hhlang_tot,hhlang_eng,hhlang_sp,hhlang_slim,hhlang_snot,hhlang_indeu,hhlang_inlim,hhlang_inno,hhlang_as,hhlang_asli,hhlang_asno,hhlang_oth,hhlang_limo,hhlang_noli,grent_tot,grent_wi,grent<100,grent_100,grent_150,grent_200,grent_250,grent_300,grent_350,grent_400,grent_450,grent_500,grent_550,grent_600,grent_650,grent_700,grent_750,grent_800,grent_900,grent_1k,grent_1250,grent_1500,grent_2k,grent_2500,grent_3k,grent_3500,grent_none,agve_com,agve_male,agve_fem,state,county,tract,block group,GEOID
"Block Group 2, Census Tract 11, Jackson County, Oregon",1137,1074,63,0,63,0,0,0,0,0,0,0,0,0,167,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,0,94,0,0,0,0,18,,,,41,029,001100,2,410290011002
"Block Group 1, Census Tract 11, Jackson County, Oregon",521,521,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,49,0,0,0,0,0,0,0,,,,41,029,001100,1,410290011001
"Block Group 1, Census Tract 13.01, Jackson County, Oregon",515,314,180,0,180,21,0,21,0,0,0,0,0,0,119,119,0,0,0,0,0,0,0,0,56,0,0,0,14,0,0,12,0,25,6,0,0,0,0,6,0,,,,41,029,001301,1,410290013011
"Block Group 3, Census Tract 13.01, Jackson County, Oregon",308,240,50,0,50,0,0,0,18,0,18,0,0,0,73,73,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,12,31,0,0,0,0,0,0,,,,41,029,001301,3,410290013013
"Block Group 2, Census Tract 21, Jackson County, Oregon",444,434,0,0,0,0,0,0,10,0,10,0,0,0,279,244,0,0,0,0,0,0,0,0,0,0,0,10,12,11,15,21,0,67,77,31,0,0,0,0,35,,,,41,029,002100,2,410290021002
"Block Group 3, Census Tract 21, Jackson County, Oregon",420,420,0,0,0,0,0,0,0,0,0,0,0,0,143,143,0,0,0,0,0,0,0,9,0,7,0,0,0,8,9,7,22,0,8,0,73,0,0,0,0,,,,41,029,002100,3,410290021003
"Block Group 5, Census Tract 29, Jackson County, Oregon",609,609,0,0,0,0,0,0,0,0,0,0,0,0,212,206,0,0,0,0,0,0,0,0,16,0,0,0,0,6,28,5,56,63,4,28,0,0,0,0,6,,,,41,029,002900,5,410290029005
"Block Group 1, Census Tract 29, Jackson County, Oregon",392,377,0,0,0,0,0,0,15,0,15,0,0,0,148,56,0,0,0,0,0,0,0,0,0,0,15,13,0,10,0,0,0,18,0,0,0,0,0,0,92,,,,41,029,002900,1,410290029001
"Block Group 2, Census Tract 29, Jackson County, Oregon",711,629,51,0,51,15,0,15,16,0,16,0,0,0,98,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,4,0,0,0,50,,,,41,029,002900,2,410290029002
"Block Group 6, Census Tract 29, Jackson County, Oregon",381,381,0,0,0,0,0,0,0,0,0,0,0,0,111,97,0,0,0,0,0,0,18,0,0,0,0,0,0,17,0,0,0,18,0,44,0,0,0,0,14,,,,41,029,002900,6,410290029006
"Block Group 3, Census Tract 18, Jackson County, Oregon",1119,1001,48,0,48,70,0,70,0,0,0,0,0,0,288,242,0,0,0,0,0,0,0,0,0,0,0,14,0,49,15,0,0,34,48,70,12,0,0,0,46,,,,41,029,001800,3,410290018003
"Block Group 1, Census Tract 18, Jackson County, Oregon",722,661,21,21,0,15,0,15,25,0,25,0,0,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,71,81,33,0,36,0,0,0,,,,41,029,001800,1,410290018001
"Block Group 2, Census Tract 18, Jackson County, Oregon",1153,1044,44,24,20,42,0,42,23,0,23,0,0,0,255,255,0,0,0,0,0,0,0,0,0,33,0,0,19,0,0,0,0,12,34,134,23,0,0,0,0,,,,41,029,001800,2,410290018002
"Block Group 2, Census Tract 20, Jackson County, Oregon",505,445,0,0,0,38,0,38,9,0,9,13,0,13,298,289,0,0,0,0,10,0,0,0,0,0,0,22,22,13,21,41,40,87,22,11,0,0,0,0,9,,,,41,029,002000,2,410290020002
"Block Group 1, Census Tract 28, Jackson County, Oregon",652,615,27,0,27,0,0,0,10,0,10,0,0,0,138,55,0,0,0,0,0,0,0,0,17,0,0,0,0,18,0,0,0,17,0,3,0,0,0,0,83,,,,41,029,002800,1,410290028001
"Block Group 3, Census Tract 28, Jackson County, Oregon",266,245,12,0,12,0,0,0,9,0,9,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,41,029,002800,3,410290028003
"Block Group 1, Census Tract 8, Jackson County, Oregon",1536,1466,48,0,48,22,0,22,0,0,0,0,0,0,639,622,0,0,0,0,0,0,0,0,0,0,34,17,17,122,48,66,79,124,0,115,0,0,0,0,17,,,,41,029,000800,1,410290008001
"Block Group 1, Census Tract 7, Jackson County, Oregon",680,662,0,0,0,18,0,18,0,0,0,0,0,0,248,236,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,51,80,53,36,0,0,0,0,12,,,,41,029,000700,1,410290007001
"Block Group 2, Census Tract 7, Jackson County, Oregon",1037,810,227,77,150,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,19,21,32,0,0,0,0,0,0,,,,41,029,000700,2,410290007002
"Block Group 2, Census Tract 500.01, Douglas County, Oregon",765,745,0,0,0,9,0,9,11,0,11,0,0,0,204,169,0,0,0,10,7,0,0,0,0,0,0,0,69,0,0,0,8,0,23,52,0,0,0,0,35,,,,41,019,050001,2,410190500012
"Block Group 1, Census Tract 500.01, Douglas County, Oregon",303,292,11,0,11,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,,,41,019,050001,1,410190500011
"Block Group 4, Census Tract 500.01, Douglas County, Oregon",309,309,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,,,,41,019,050001,4,410190500014
"Block Group 1, Census Tract 1800, Douglas County, Oregon",454,454,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,30,2,7,0,0,0,0,0,0,,,,41,019,180000,1,410191800001
"Block Group 4, Census Tract 1800, Douglas County, Oregon",237,230,0,0,0,7,0,7,0,0,0,0,0,0,148,148,0,0,0,0,0,0,0,0,0,28,0,48,9,17,0,12,34,0,0,0,0,0,0,0,0,,,,41,019,180000,4,410191800004
"Block Group 1, Census Tract 9704, Klamath County, Oregon",554,526,28,10,18,0,0,0,0,0,0,0,0,0,114,77,0,0,4,0,0,0,1,0,13,0,13,0,10,0,9,3,8,14,2,0,0,0,0,0,37,,,,41,035,970400,1,410359704001
"Block Group 2, Census Tract 9714, Klamath County, Oregon",413,379,34,0,34,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,81,13,33,17,0,0,0,0,0,0,,,,41,035,971400,2,410359714002
"Block Group 3, Census Tract 9714, Klamath County, Oregon",230,210,0,0,0,0,0,0,0,0,0,20,0,20,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,46,0,0,0,0,0,0,,,,41,035,971400,3,410359714003
"Block Group 4, Census Tract 9715, Klamath County, Oregon",375,226,130,48,82,0,0,0,19,0,19,0,0,0,213,213,0,0,0,0,0,0,11,0,24,0,21,0,17,34,0,41,20,45,0,0,0,0,0,0,0,,,,41,035,971500,4,410359715004
"Block Group 1, Census Tract 9715, Klamath County, Oregon",269,245,0,0,0,14,0,14,0,0,0,10,0,10,106,106,0,0,0,0,0,0,0,0,0,0,9,0,0,6,18,0,53,0,0,20,0,0,0,0,0,,,,41,035,971500,1,410359715001
"Block Group 5, Census Tract 9715, Klamath County, Oregon",560,530,15,0,15,15,0,15,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,36,0,27,8,44,10,0,0,20,33,0,0,0,0,0,0,,,,41,035,971500,5,410359715005
"Block Group 2, Census Tract 9715, Klamath County, Oregon",352,301,43,0,43,8,0,8,0,0,0,0,0,0,184,136,0,0,0,11,0,0,11,0,0,12,10,0,8,9,34,0,32,9,0,0,0,0,0,0,48,,,,41,035,971500,2,410359715002
"Block Group 3, Census Tract 9718, Klamath County, Oregon",371,338,23,0,23,0,0,0,0,0,0,10,0,10,335,305,0,0,0,8,21,10,0,18,25,38,9,36,32,20,27,0,45,0,0,16,0,0,0,0,30,,,,41,035,971800,3,410359718003
"Block Group 1, Census Tract 9504, Lincoln County, Oregon",901,846,29,0,29,26,0,26,0,0,0,0,0,0,451,397,0,0,0,9,0,0,0,8,0,24,0,23,33,9,0,14,98,136,25,18,0,0,0,0,54,,,,41,041,950400,1,410419504001
"Block Group 3, Census Tract 30.02, Jackson County, Oregon",688,649,23,12,11,16,0,16,0,0,0,0,0,0,169,169,0,0,0,0,0,0,0,0,11,0,0,0,0,9,10,12,36,69,0,0,22,0,0,0,0,,,,41,029,003002,3,410290030023
"Block Group 1, Census Tract 9501, Lincoln County, Oregon",884,850,27,0,27,0,0,0,7,7,0,0,0,0,274,222,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,23,84,41,42,5,0,0,0,0,52,,,,41,041,950100,1,410419501001
"Block Group 2, Census Tract 9501, Lincoln County, Oregon",456,429,27,0,27,0,0,0,0,0,0,0,0,0,92,59,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,11,29,0,0,0,0,0,0,33,,,,41,041,950100,2,410419501002
"Block Group 1, Census Tract 9511, Lincoln County, Oregon",353,313,29,21,8,0,0,0,11,0,11,0,0,0,118,112,0,0,6,0,0,0,0,0,0,13,0,0,0,6,0,6,32,18,12,12,0,0,7,0,6,,,,41,041,951100,1,410419511001
"Block Group 2, Census Tract 9511, Lincoln County, Oregon",466,427,21,0,21,13,0,13,5,0,5,0,0,0,144,144,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,15,68,27,15,0,0,0,0,0,,,,41,041,951100,2,410419511002
"Block Group 1, Census Tract 9516, Lincoln County, Oregon",611,592,4,0,4,6,0,6,9,0,9,0,0,0,167,131,0,0,0,0,0,0,0,14,0,0,19,0,10,0,25,23,14,5,16,5,0,0,0,0,36,,,,41,041,951600,1,410419516001
"Block Group 3, Census Tract 9516, Lincoln County, Oregon",404,395,9,0,9,0,0,0,0,0,0,0,0,0,73,67,0,0,0,0,0,0,0,0,0,0,24,0,0,13,4,0,0,18,8,0,0,0,0,0,6,,,,41,041,951600,3,410419516003
"Block Group 2, Census Tract 9516, Lincoln County, Oregon",595,590,0,0,0,0,0,0,5,0,5,0,0,0,238,226,0,0,0,36,0,0,14,20,0,0,0,4,13,0,50,55,6,24,4,0,0,0,0,0,12,,,,41,041,951600,2,410419516002
"Block Group 1, Census Tract 9509, Lincoln County, Oregon",326,268,38,0,38,13,0,13,7,0,7,0,0,0,155,143,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,15,0,28,68,0,0,0,0,12,,,,41,041,950900,1,410419509001
"Block Group 3, Census Tract 9509, Lincoln County, Oregon",464,409,39,10,29,0,0,0,16,0,16,0,0,0,210,168,0,0,19,0,0,0,9,0,0,0,0,0,9,36,0,36,22,8,0,29,0,0,0,0,42,,,,41,041,950900,3,410419509003
"Block Group 2, Census Tract 9509, Lincoln County, Oregon",301,224,77,0,77,0,0,0,0,0,0,0,0,0,164,164,0,0,0,0,0,0,0,0,0,0,0,11,10,8,23,33,20,37,22,0,0,0,0,0,0,,,,41,041,950900,2,410419509002
"Block Group 4, Census Tract 9509, Lincoln County, Oregon",390,305,85,30,55,0,0,0,0,0,0,0,0,0,164,164,0,0,0,0,17,0,0,0,0,0,0,0,11,0,10,30,0,45,36,15,0,0,0,0,0,,,,41,041,950900,4,410419509004
"Block Group 2, Census Tract 9512, Lincoln County, Oregon",389,361,28,0,28,0,0,0,0,0,0,0,0,0,156,153,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,25,28,29,18,40,7,0,0,0,3,,,,41,041,951200,2,410419512002
"Block Group 1, Census Tract 28, Marion County, Oregon",520,449,57,0,57,8,8,0,6,0,6,0,0,0,108,92,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,12,8,3,0,36,0,0,0,0,16,,,,41,047,002800,1,410470028001
"Block Group 2, Census Tract 28, Marion County, Oregon",1026,952,51,0,51,8,0,8,15,0,15,0,0,0,387,361,0,0,0,0,0,0,0,0,0,0,0,0,25,0,45,84,69,64,33,41,0,0,0,0,26,,,,41,047,002800,2,410470028002
"Block Group 2, Census Tract 101, Marion County, Oregon",209,183,19,0,19,7,0,7,0,0,0,0,0,0,77,61,0,0,0,0,0,0,13,0,0,8,0,0,0,0,4,0,7,14,8,4,3,0,0,0,16,,,,41,047,010100,2,410470101002
"Block Group 1, Census Tract 106, Marion County, Oregon",109,107,2,0,2,0,0,0,0,0,0,0,0,0,36,28,0,0,0,0,0,0,0,0,0,4,1,0,0,9,8,0,0,0,2,4,0,0,0,0,8,,,,41,047,010600,1,410470106001
"Block Group 2, Census Tract 222.01, Clackamas County, Oregon",1582,1109,267,29,238,174,83,91,32,18,14,0,0,0,1349,1349,0,0,0,0,0,17,0,0,89,0,0,0,0,0,54,286,81,273,183,109,158,99,0,0,0,,,,41,005,022201,2,410050222012
"Block Group 1, Census Tract 222.01, Clackamas County, Oregon",202,141,48,0,48,0,0,0,0,0,0,13,0,13,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,10,0,30,0,0,0,0,0,,,,41,005,022201,1,410050222011
"Block Group 2, Census Tract 235, Clackamas County, Oregon",534,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,41,005,023500,2,410050235002
"Block Group 5, Census Tract 235, Clackamas County, Oregon",373,373,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,16,0,0,0,0,0,0,0,,,,41,005,023500,5,410050235005
"Block Group 1, Census Tract 235, Clackamas County, Oregon",533,533,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,0,0,0,64,0,0,0,0,0,,,,41,005,023500,1,410050235001
"Block Group 1, Census Tract 238, Clackamas County, Oregon",463,365,20,0,20,63,0,63,15,0,15,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,16,0,0,0,0,0,,,,41,005,023800,1,410050238001
"Block Group 3, Census Tract 238, Clackamas County, Oregon",200,152,0,0,0,29,0,29,19,0,19,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,,,,41,005,023800,3,410050238003
"Block Group 5, Census Tract 238, Clackamas County, Oregon",410,410,0,0,0,0,0,0,0,0,0,0,0,0,100,86,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,62,0,0,13,0,0,14,,,,41,005,023800,5,410050238005
"Block Group 2, Census Tract 216.01, Clackamas County, Oregon",1307,1116,180,24,156,11,0,11,0,0,0,0,0,0,767,767,0,0,0,0,0,0,0,0,0,75,42,0,0,0,0,35,116,226,230,43,0,0,0,0,0,,,,41,005,021601,2,410050216012
"Block Group 3, Census Tract 216.01, Clackamas County, Oregon",469,454,15,0,15,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,18,78,52,13,0,0,0,0,0,,,,41,005,021601,3,410050216013
"Block Group 3, Census Tract 9701, Klamath County, Oregon",282,282,0,0,0,0,0,0,0,0,0,0,0,0,176,121,0,0,0,0,23,0,0,35,0,0,0,43,0,0,0,0,0,20,0,0,0,0,0,0,55,,,,41,035,970100,3,410359701003
"Block Group 1, Census Tract 9701, Klamath County, Oregon",192,192,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,8,14,0,0,0,0,0,0,,,,41,035,970100,1,410359701001
"Block Group 2, Census Tract 30.02, Jackson County, Oregon",625,558,51,14,37,16,0,16,0,0,0,0,0,0,187,187,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,14,34,0,0,61,0,0,0,0,0,,,,41,029,003002,2,410290030022
"Block Group 1, Census Tract 25, Jackson County, Oregon",475,427,28,0,28,20,0,20,0,0,0,0,0,0,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,11,,,,41,029,002500,1,410290025001
"Block Group 2, Census Tract 25, Jackson County, Oregon",306,283,15,0,15,0,0,0,8,0,8,0,0,0,45,34,0,0,0,0,0,1,0,2,0,0,0,0,10,12,0,3,1,4,1,0,0,0,0,0,11,,,,41,029,002500,2,410290025002
"Block Group 2, Census Tract 9, Jackson County, Oregon",1059,896,115,66,49,13,0,13,17,0,17,18,0,18,249,249,0,31,14,15,0,16,36,25,0,17,0,15,0,0,0,0,0,12,0,12,43,0,0,13,0,,,,41,029,000900,2,410290009002
"Block Group 1, Census Tract 9, Jackson County, Oregon",426,426,0,0,0,0,0,0,0,0,0,0,0,0,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,58,,,,41,029,000900,1,410290009001
"Block Group 1, Census Tract 14, Jackson County, Oregon",1814,1760,24,0,24,30,0,30,0,0,0,0,0,0,442,391,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,33,58,69,123,76,0,0,0,51,,,,41,029,001400,1,410290014001
"Block Group 2, Census Tract 23, Jackson County, Oregon",388,340,37,0,37,11,0,11,0,0,0,0,0,0,33,28,0,0,0,0,0,6,0,0,0,0,0,6,5,0,0,0,0,0,0,6,5,0,0,0,5,,,,41,029,002300,2,410290023002
"Block Group 1, Census Tract 2.01, Jackson County, Oregon",456,434,11,0,11,0,0,0,11,0,11,0,0,0,376,371,0,0,0,0,0,0,25,0,0,0,53,13,23,64,7,45,79,30,0,32,0,0,0,0,5,,,,41,029,000201,1,410290002011
"Block Group 3, Census Tract 2.01, Jackson County, Oregon",542,423,111,98,13,8,0,8,0,0,0,0,0,0,489,489,0,0,0,29,0,0,0,84,43,0,0,16,9,8,22,68,71,92,34,13,0,0,0,0,0,,,,41,029,000201,3,410290002013
"Block Group 1, Census Tract 15, Jackson County, Oregon",359,288,55,0,55,16,0,16,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,0,0,0,0,0,,,,41,029,001500,1,410290015001
"Block Group 2, Census Tract 15, Jackson County, Oregon",822,783,0,0,0,39,14,25,0,0,0,0,0,0,173,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,0,38,0,0,0,58,,,,41,029,001500,2,410290015002
"Block Group 2, Census Tract 24, Jackson County, Oregon",339,324,9,0,9,0,0,0,6,0,6,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,18,5,13,0,,,,41,029,002400,2,410290024002
"Block Group 1, Census Tract 9505, Umatilla County, Oregon",656,600,56,0,56,0,0,0,0,0,0,0,0,0,337,326,0,0,0,0,0,0,11,0,7,0,7,78,32,0,7,14,62,66,42,0,0,0,0,0,11,,,,41,059,950500,1,410599505001
"Block Group 2, Census Tract 9505, Umatilla County, Oregon",654,633,12,0,12,0,0,0,9,0,9,0,0,0,180,180,0,0,0,0,0,0,0,23,0,6,0,0,0,0,0,28,0,56,26,13,21,7,0,0,0,,,,41,059,950500,2,410599505002
"Block Group 3, Census Tract 9505, Umatilla County, Oregon",154,154,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,6,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,,,,41,059,950500,3,410599505003
"Block Group 2, Census Tract 9507, Umatilla County, Oregon",317,248,69,12,57,0,0,0,0,0,0,0,0,0,227,227,0,0,0,22,0,0,0,0,9,32,11,0,0,10,42,12,63,8,18,0,0,0,0,0,0,,,,41,059,950700,2,410599507002
"Block Group 1, Census Tract 9507, Umatilla County, Oregon",408,387,21,0,21,0,0,0,0,0,0,0,0,0,235,228,0,0,0,0,0,0,0,0,0,26,0,30,8,19,25,36,0,26,19,39,0,0,0,0,7,,,,41,059,950700,1,410599507001
"Block Group 3, Census Tract 9507, Umatilla County, Oregon",295,218,52,0,52,0,0,0,25,0,25,0,0,0,121,121,0,0,0,0,0,9,0,0,0,0,0,0,46,9,0,24,17,16,0,0,0,0,0,0,0,,,,41,059,950700,3,410599507003
"Block Group 2, Census Tract 9509, Umatilla County, Oregon",365,311,54,0,54,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,30,0,63,0,0,0,0,0,0,0,,,,41,059,950900,2,410599509002
"Block Group 3, Census Tract 9509, Umatilla County, Oregon",879,619,245,0,245,15,0,15,0,0,0,0,0,0,148,140,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,52,21,37,19,0,0,0,0,0,8,,,,41,059,950900,3,410599509003
"Block Group 1, Census Tract 9509, Umatilla County, Oregon",494,310,184,112,72,0,0,0,0,0,0,0,0,0,357,357,0,0,0,0,0,0,33,0,31,0,0,45,36,27,109,76,0,0,0,0,0,0,0,0,0,,,,41,059,950900,1,410599509001
"Block Group 1, Census Tract 9502, Umatilla County, Oregon",497,208,279,47,232,0,0,0,10,0,10,0,0,0,142,142,0,0,0,0,0,0,0,44,0,0,0,48,0,0,0,0,10,0,17,23,0,0,0,0,0,,,,41,059,950200,1,410599502001
"Block Group 3, Census Tract 9502, Umatilla County, Oregon",436,125,311,66,245,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,13,0,0,44,53,0,0,0,0,39,0,29,0,0,0,0,0,0,0,0,0,,,,41,059,950200,3,410599502003
"Block Group 5, Census Tract 9502, Umatilla County, Oregon",401,237,164,0,164,0,0,0,0,0,0,0,0,0,152,152,0,0,0,0,0,0,0,0,20,70,10,13,0,0,0,11,0,0,13,15,0,0,0,0,0,,,,41,059,950200,5,410599502005
"Block Group 4, Census Tract 9502, Umatilla County, Oregon",357,242,107,0,107,8,0,8,0,0,0,0,0,0,169,119,0,0,0,0,33,0,0,12,0,0,0,0,0,0,0,0,35,39,0,0,0,0,0,0,50,,,,41,059,950200,4,410599502004
"Block Group 2, Census Tract 9502, Umatilla County, Oregon",490,379,111,0,111,0,0,0,0,0,0,0,0,0,183,183,0,0,0,0,16,24,0,0,26,0,0,38,9,8,0,27,0,22,0,0,13,0,0,0,0,,,,41,059,950200,2,410599502002
"Block Group 6, Census Tract 9502, Umatilla County, Oregon",206,206,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,13,0,0,0,0,0,0,32,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,41,059,950200,6,410599502006
"Block Group 1, Census Tract 9514, Umatilla County, Oregon",602,578,16,13,3,0,0,0,0,0,0,8,0,8,128,108,5,12,0,0,12,0,0,0,7,0,0,0,20,0,18,14,10,10,0,0,0,0,0,0,20,,,,41,059,951400,1,410599514001
"Block Group 2, Census Tract 108.02, Marion County, Oregon",534,356,165,57,108,0,0,0,13,0,13,0,0,0,104,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,14,0,0,0,0,43,,,,41,047,010802,2,410470108022
"Block Group 4, Census Tract 108.02, Marion County, Oregon",862,695,167,46,121,0,0,0,0,0,0,0,0,0,185,167,0,0,0,11,0,4,0,0,0,0,0,0,0,0,17,0,18,67,24,26,0,0,0,0,18,,,,41,047,010802,4,410470108024
"Block Group 4, Census Tract 18.01, Marion County, Oregon",522,159,363,86,277,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,17,0,0,0,0,16,0,62,0,50,15,0,0,0,0,0,0,,,,41,047,001801,4,410470018014
"Block Group 3, Census Tract 18.01, Marion County, Oregon",476,349,83,16,67,22,0,22,22,0,22,0,0,0,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,22,80,0,0,0,0,0,,,,41,047,001801,3,410470018013
"Block Group 2, Census Tract 18.01, Marion County, Oregon",765,528,208,18,190,29,0,29,0,0,0,0,0,0,597,597,0,0,0,0,23,0,0,0,0,30,0,0,0,12,28,65,29,296,114,0,0,0,0,0,0,,,,41,047,001801,2,410470018012
