,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
10,public,24 hours daily,,,2021-06-07,,ELEC,Public,37651,2008-10-15,P,E,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,800-955-6674,2021-06-07T17:37:37Z,MUSEUM,GPS,45.509326,-122.666392,Portland,Near building in north parking lot,,OR,1945 SE Water Ave,97214,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
11,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39827,2011-03-15,P,E,Carr Nissan,503-643-8676,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.491783,-122.81107,Beaverton,,,OR,3855 SW Cedar Hills Blvd,97005,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
12,public,Dealership business hours,CALL,,2020-09-03,,ELEC,Public - Call ahead,39828,2011-03-15,P,E,Lithia Nissan of Bend,541-389-1177,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.055213,-121.277279,Bend,,,OR,1835 NE Highway 20,97701,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
13,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39830,2011-11-10,P,E,Kiefer Nissan,541-753-1694,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.572608,-123.258425,Corvallis,,,OR,900 NW 4th St,97330,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
14,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39831,2011-03-15,P,E,Lithia Nissan of Eugene,541-686-2211,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.05902085037804,-123.0813974632293,Eugene,,,OR,2060 Martin Luther King,97401,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
15,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39832,2011-03-15,P,E,Dick Hannah Nissan,503-655-6519,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.378967,-122.603899,Gladstone,,,OR,19505 SE McLoughlin Blvd,97027,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
16,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39836,2011-03-15,P,E,Chuck Colvin Nissan,503-472-6124,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.227394,-123.180863,McMinnville,,,OR,1925 N Highway 99W,97128,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
17,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39837,2011-03-15,P,E,Lithia Nissan,541-930-3025,2021-03-11T23:22:17Z,CAR_DEALER,200-9,42.379969,-122.858192,Medford,,,OR,4560 Grumman Dr,97504,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
18,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39838,2011-03-15,P,E,Rustom Nissan - Portland,503-251-3349,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.531759,-122.537403,Portland,,,OR,1212 NE 122nd Ave,97230,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
19,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39839,2011-03-15,P,E,Power Nissan - Salem,503-581-3849,2021-03-11T23:22:17Z,CAR_DEALER,200-9,44.921582,-123.006236,Salem,,,OR,2755 Mission St SE,97302,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
20,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39840,2011-03-15,P,E,Ray Schultens Nissan,541-296-4613,2021-03-11T23:22:17Z,CAR_DEALER,GPS,45.613979,-121.20996,The Dalles,,,OR,2400 W 6th St,97058,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
21,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39841,2011-03-15,P,E,Tonkin Nissan,503-222-2277,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.326814,-122.770853,Wilsonville,,,OR,26700 SW 95th Ave,97070,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
22,public,24 hours daily; parking permit required,,,2020-05-06,,ELEC,Public,40752,2011-08-01,SG,E,Southern Oregon University - Lot 8,541-552-7275,2021-03-11T23:22:17Z,COLLEGE_CAMPUS,200-8,42.187149,-122.689496,Ashland,,,OR,401 Stadium St,97520,US,,,,,,,,,,,"['J1772', 'NEMA520']",,2.0,3.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
23,private,Employee and customer use only,,,2021-06-07,,ELEC,Private,40765,2011-03-15,P,E,Mentor Graphics,,2021-06-07T17:37:37Z,OFFICE_BLDG,200-8,45.317487,-122.759692,Wilsonville,,,OR,8005 SW Boeckman Rd,97070,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
24,public,8am-5pm daily; Employee and customer use only,CALL,,2021-06-07,,ELEC,Public - Call ahead,40775,2012-03-31,P,E,Atmosera,503-646-8400,2021-06-07T17:37:37Z,OFFICE_BLDG,GPS,45.475743,-122.776517,Beaverton,,,OR,9705 SW Sunshine Ct,97005,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
25,public,8am-5pm daily,,,2021-01-14,,ELEC,Public,40777,2011-03-01,P,E,Clackamas County Sheriff's Office - Brooks Building,503-785-5000,2021-05-20T15:59:24Z,MUNI_GOV,GPS,45.43039546782978,-122.5722026653595,Clackamas,,,OR,9101 SE Sunnybrook Blvd,97015,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
26,public,24 hours daily,,,2021-06-22,,ELEC,Public,40904,,,E,SHERWOOD CANNERY #1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.355354,-122.840126,Sherwood,,,OR,NW Washington St,97140,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5334'], 'posts': ['61237', '61239']}",
27,public,24 hours daily,,,2021-06-22,,ELEC,Public,40905,,,E,SHERWOOD CANNERY #2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.356319,-122.838837,Sherwood,,,OR,15665 SW Willamette St,97140,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5318'], 'posts': ['61181', '61183']}",
28,public,Dealership business hours,CALL,,2021-06-07,,ELEC,Public - Call ahead,41085,2011-09-15,P,E,TC Chevrolet,541-201-8697,2021-06-07T17:37:37Z,CAR_DEALER,GPS,42.219548,-122.740005,Ashland,Located off of Exit 19 on Highway 99 on the north end of Ashland. Charger located outside of service bay.,,OR,2045 Highway 99 N,97520,US,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
29,public,24 hours daily,,,2021-06-22,,ELEC,Public,41758,,,E,HIGHLANDCHEVRON HIGHLAND DUAL 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.475962,-122.825561,Beaverton,,,OR,14470 SW Allen Blvd,97005,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL424361'], 'posts': ['577571', '577581']}",
30,private,,,,2020-06-09,,ELEC,Private,44225,2011-03-15,P,E,Carr Nissan,503-643-8676,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.491783,-122.81107,Beaverton,,,OR,3855 SW Cedar Hills Blvd,97005,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
31,private,,,,2020-06-09,,ELEC,Private,44228,2011-11-10,P,E,Kiefer Nissan,541-753-1694,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.572608,-123.258425,Corvallis,,,OR,900 NW 4th St,97330,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
32,private,,,,2020-06-09,,ELEC,Private,44230,2011-03-15,P,E,Lithia Nissan of Eugene,541-686-2211,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.05902085037804,-123.0813974632293,Eugene,,,OR,2060 Martin Luther King,97401,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
33,private,,,,2020-06-09,,ELEC,Private,44233,2011-03-15,P,E,Dick Hannah Nissan,503-655-6519,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.378967,-122.603899,Gladstone,,,OR,19505 SE McLoughlin Blvd,97027,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
34,private,,,,2020-06-09,,ELEC,Private,44241,2011-03-15,P,E,Chuck Colvin Nissan,503-472-6124,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.227394,-123.180863,McMinnville,,,OR,1925 N Highway 99W,97128,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
35,private,,,,2020-06-09,,ELEC,Private,44243,2011-03-15,P,E,Lithia Nissan,541-930-3025,2021-03-11T23:22:17Z,CAR_DEALER,200-9,42.379969,-122.858192,Medford,,,OR,4560 Grumman Dr,97504,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
36,private,,,,2020-06-09,,ELEC,Private,44247,2011-03-15,P,E,Rustom Nissan - Portland,503-251-3349,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.531759,-122.537403,Portland,,,OR,1212 NE 122nd Ave,97230,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
37,private,,,,2020-06-09,,ELEC,Private,44251,2011-03-15,P,E,Power Nissan - Salem,503-581-3849,2021-03-11T23:22:17Z,CAR_DEALER,200-9,44.921582,-123.006236,Salem,,,OR,2755 Mission St SE,97302,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
38,private,,,,2020-06-09,,ELEC,Private,44255,2011-03-15,P,E,Tonkin Nissan,503-222-2277,2021-03-11T23:22:17Z,CAR_DEALER,200-9,45.326814,-122.770853,Wilsonville,,,OR,26700 SW 95th Ave,97070,US,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
39,public,24 hours daily,,,2021-06-07,,ELEC,Public,47064,2009-10-15,P,E,West Hills Collision Center,503-245-9030,2021-06-07T17:37:37Z,CAR_DEALER,200-9,45.464636,-122.698892,Portland,,,OR,8300 SW Barbur Blvd,97219,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
40,public,,,,2021-06-22,,ELEC,Public,50714,2012-12-26,,E,Fox Tower Parking Lot,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.518289,-122.680882,Portland,,,OR,805 SW Broadway,97205,US,,,,,,,,,,,['J1772'],,,2.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['25'], 'posts': ['454_1', '515_1']}",
41,public,,,,2021-06-22,,ELEC,Public,50716,2012-08-24,,E,Bridgeport Village Parking Lot,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.39645,-122.75364,Tigard,,,OR,7455 SW Bridgeport Rd,97224,US,,,,,,,,,,,['J1772'],,4.0,4.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['16'], 'posts': ['17_1', '17_2', '17_3', '17_4', '7_1', '7_2', '7_3', '7_4']}",
42,public,24 hours daily,,,2021-06-07,,ELEC,Public,51699,2013-03-01,P,E,Hilltop Collision Center,503-722-5885,2021-06-07T17:37:37Z,CAR_DEALER,200-9,45.333825,-122.596795,Oregon City,,,OR,275 Beavercreek Rd,97045,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
43,private,USNF Employees only,,,2021-04-08,,ELEC,Private,52473,2013-06-30,FG,E,Deschutes National Forest Supervisor’s Office,,2021-04-08T20:32:57Z,NATL_PARK,GPS,44.091791,-121.261635,Bend,,,OR,63095 Deschutes Market Rd,97701,US,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,"{'id': 4, 'code': 'USDA', 'name': 'U.S. Department of Agriculture'}"
44,private,USDA fleet use only,,,2021-02-22,,ELEC,Private,52474,2013-06-30,FG,E,Forest Service - Umpqua National Forest,,2021-03-04T18:40:37Z,NATL_PARK,200-9,43.236194,-122.940719,Glide,,,OR,2010 Opportunity Ln,97443,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,"{'id': 4, 'code': 'USDA', 'name': 'U.S. Department of Agriculture'}"
45,public,24 hours daily,,,2021-06-22,,ELEC,Public,53039,,,E,TOFURKY COMPANY TOFURKY HQ,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.713918,-121.516681,Hood River,,,OR,602 Anchor Way,97031,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL6076'], 'posts': ['62943', '62945']}",
46,public,10am-6pm daily,,,2021-06-07,,ELEC,Public,53694,2013-11-20,P,E,Ocean Beaches Glassblowing & Gallery,541-563-8632,2021-06-07T17:37:37Z,PARKING_LOT,200-9,44.504993,-124.079315,Seal Rock,,,OR,11175 NW Pacific Coast Hwy,97376,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
47,public,24 hours daily; see valet for access,,,2020-12-03,,ELEC,Public,53982,2013-11-01,P,E,The Mill Casino,800-953-4800,2021-05-21T07:17:13Z,HOTEL,200-9,43.393471,-124.21869,North Bend,Located in the valet,,OR,3201 Tremont Ave,97459,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,$12 per session,,,,,,,,,,,,,,,,Public,,,
48,public,24 hours daily,,,2021-06-22,,ELEC,Public,56771,,,E,MATISSE         MATISSE 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.494251,-122.671806,Portland,,,OR,0677 SW Lowell St,97239,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2535'], 'posts': ['53651', '53653']}",
49,public,24 hours daily,,,2021-06-22,,ELEC,Public,57011,,,E,SHERWOOD        CANNERY #3,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.356464,-122.838989,Sherwood,,,OR,15601 SW Willamette St,97140,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5012'], 'posts': ['60231', '60233']}",
50,public,24 hours daily,,,2021-06-22,,ELEC,Public,58336,,,E,FORD_BLDG FORD CHARGER #1,888-758-4389,2021-06-22T00:42:47Z,,GPS,43.366504,-124.214993,Coos Bay,,,OR,245 S 2nd St,97420,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL95441'], 'posts': ['9030281']}",
51,public,24 hours daily,,,2021-06-22,,ELEC,Public,60919,,,E,US BANCORP 5TH AVE GARAGE1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522185,-122.675939,Portland,,,OR,111 SW 5th Ave,97204,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL96447'], 'posts': ['110221', '110223']}",
52,public,24 hours daily,,,2021-06-22,,ELEC,Public,60943,,,E,US BANCORP 4TH AVE GARAGE1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522198,-122.674722,Portland,,,OR,125 SW 4th Ave,97204,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL96441'], 'posts': ['110209', '110211']}",
53,public,24 hours daily,,,2021-06-22,,ELEC,Public,61829,,,E,CITY OF BANDON BANDON #1,888-758-4389,2021-06-22T00:42:47Z,,GPS,43.119134,-124.407312,Bandon,,,OR,555 US-101,97411,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL85615'], 'posts': ['90337', '90339']}",
54,public,24 hours daily,,,2021-06-22,,ELEC,Public,62810,,,E,BEND BMW STATION 01,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.039941,-121.305312,Bend,,,OR,1040 SW Division St,97702,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL103073'], 'posts': ['121933', '121935']}",
55,public,,,,2021-06-22,,ELEC,Public,62982,2014-07-15,,E,Courtyard Marriott - Tigard Oregon,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.407373,-122.746448,Tigard,,,OR,15686 SW Sequoia Parkway,97224,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['97'], 'posts': ['181_1', '262_1', '262_2']}",
56,public,,,,2021-06-22,,ELEC,Public,62983,2014-07-01,,E,Lincoln Center - Gustav's Restaurant,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.445072,-122.77554,Tigard,,,OR,10300 SW Greenburg Road,97223,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['96'], 'posts': ['178_1', '284_1', '284_2']}",
57,public,,,,2021-06-22,,ELEC,Public,62984,2014-07-01,,E,Arlington Oregon City Hall,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.7176,-120.20343,Arlington,,,OR,1310 Locust Ave.,97812,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,SOLAR,,,,,,,,,,,,,,,Public,,"{'station': ['103'], 'posts': ['169_1', '321_1', '321_2']}",
58,public,,,,2021-06-22,,ELEC,Public,62985,2014-07-01,,E,Roth's South Salem Oregon,855-885-9571,2021-06-22T01:48:04Z,,GPS,44.910615,-123.046231,Salem,,,OR,3045 Commercial Street SE,97302,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['99'], 'posts': ['182_1', '261_1', '261_2']}",
59,public,Dealership business hours,,,2021-06-07,,ELEC,Public,63646,2014-08-01,P,E,Suburban Ford,503-668-5511,2021-06-07T17:37:37Z,CAR_DEALER,200-9,45.400895,-122.281716,Sandy,,,OR,37000 Highway 26,97055,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
60,public,24 hours daily,,,2021-06-22,,ELEC,Public,64106,,,E,UOP CHARGE LIBRARY 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.573016,-122.726659,Portland,,,OR,N Mocks Landing Rd,97203,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL90919'], 'posts': ['100307', '100309']}",
61,public,24 hours daily,,,2021-06-22,,ELEC,Public,64115,,,E,ARMSTRONG VW VW_423063_A,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.376317,-122.600999,Gladstone,,,OR,20000 McLoughlin Blvd,97027,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL107917'], 'posts': ['130889', '130891']}",
62,public,24 hours daily,,,2021-06-22,,ELEC,Public,65854,,,E,Banks - Jim's Thriftway,888-833-2148,2021-06-22T01:24:23Z,,GPS,45.61007,-123.11286,Banks,,,OR,660 Main Street,97106,US,,,,,,,,,,,['J1772'],,,1.0,Webasto,https://www.evsolutions.com/ev-network,,Level 2: $4 per session or $19.99 for monthly plan,,,,,,,,,,,,,,,,Public,,{'posts': ['284']},
