,field_1,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency,geometry,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe
24,24,public,8am-5pm daily; Employee and customer use only,CALL,,2021-06-07,,ELEC,Public - Call ahead,40775,2012-03-31,P,E,Atmosera,503-646-8400,2021-06-07T17:37:37,OFFICE_BLDG,GPS,45.475743,-122.776517,Beaverton,,,OR,9705 SW Sunshine Ct,97005,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,POINT (7618225.786307714 667769.4111507719),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
25,25,public,8am-5pm daily,,,2021-01-14,,ELEC,Public,40777,2011-03-01,P,E,Clackamas County Sheriff's Office - Brooks Building,503-785-5000,2021-05-20T15:59:24,MUNI_GOV,GPS,45.43039546782978,-122.5722026653595,Clackamas,,,OR,9101 SE Sunnybrook Blvd,97015,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7670191.601908671 649830.7781494044),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
26,26,public,24 hours daily,,,2021-06-16,,ELEC,Public,40904,,,E,SHERWOOD CANNERY #1,888-758-4389,2021-06-16T00:24:33,,GPS,45.355354,-122.840126,Sherwood,,,OR,NW Washington St,97140,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5334'], 'posts': ['61237', '61239']}",,POINT (7600644.843064645 624360.4497100728),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
27,27,public,24 hours daily,,,2021-06-16,,ELEC,Public,40905,,,E,SHERWOOD CANNERY #2,888-758-4389,2021-06-16T00:24:33,,GPS,45.356319,-122.838837,Sherwood,,,OR,15665 SW Willamette St,97140,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5318'], 'posts': ['61181', '61183']}",,POINT (7600986.230732324 624702.5400319811),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
29,29,public,24 hours daily,,,2021-06-16,,ELEC,Public,41758,,,E,HIGHLANDCHEVRON HIGHLAND DUAL 1,888-758-4389,2021-06-16T00:24:33,,GPS,45.475962,-122.825561,Beaverton,,,OR,14470 SW Allen Blvd,97005,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL424361'], 'posts': ['577571', '577581']}",,POINT (7605652.870513918 668207.4828222222),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
30,30,private,,,,2020-06-09,,ELEC,Private,44225,2011-03-15,P,E,Carr Nissan,503-643-8676,2021-03-11T23:22:17,CAR_DEALER,200-9,45.491783,-122.81107,Beaverton,,,OR,3855 SW Cedar Hills Blvd,97005,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7609533.409833272 673866.8694212994),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
33,33,private,,,,2020-06-09,,ELEC,Private,44233,2011-03-15,P,E,Dick Hannah Nissan,503-655-6519,2021-03-11T23:22:17,CAR_DEALER,200-9,45.378967,-122.603899,Gladstone,,,OR,19505 SE McLoughlin Blvd,97027,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7661569.145151317 631296.78975948),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
36,36,private,,,,2020-06-09,,ELEC,Private,44247,2011-03-15,P,E,Rustom Nissan - Portland,503-251-3349,2021-03-11T23:22:17,CAR_DEALER,200-9,45.531759,-122.537403,Portland,,,OR,1212 NE 122nd Ave,97230,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7680054.228151225 686549.3294516749),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
37,37,private,,,,2020-06-09,,ELEC,Private,44251,2011-03-15,P,E,Power Nissan - Salem,503-581-3849,2021-03-11T23:22:17,CAR_DEALER,200-9,44.921582,-123.006236,Salem,,,OR,2755 Mission St SE,97302,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7553059.779826014 467573.7692883394),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
38,38,private,,,,2020-06-09,,ELEC,Private,44255,2011-03-15,P,E,Tonkin Nissan,503-222-2277,2021-03-11T23:22:17,CAR_DEALER,200-9,45.326814,-122.770853,Wilsonville,,,OR,26700 SW 95th Ave,97070,US,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7618152.067299959 613451.0648282226),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
39,39,public,24 hours daily,,,2021-06-07,,ELEC,Public,47064,2009-10-15,P,E,West Hills Collision Center,503-245-9030,2021-06-07T17:37:37,CAR_DEALER,200-9,45.464636,-122.698892,Portland,,,OR,8300 SW Barbur Blvd,97219,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7638019.594508295 663169.8409979234),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
41,41,public,,,,2021-06-16,,ELEC,Public,50716,2012-08-24,,E,Bridgeport Village Parking Lot,855-885-9571,2021-06-16T01:28:06,,GPS,45.39645,-122.75364,Tigard,,,OR,7455 SW Bridgeport Rd,97224,US,,,,,,,,,,,['J1772'],,4.0,4.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['16'], 'posts': ['17_1', '17_2', '17_3', '17_4', '7_1', '7_2', '7_3', '7_4']}",,POINT (7623285.341755345 638706.0020084118),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
42,42,public,24 hours daily,,,2021-06-07,,ELEC,Public,51699,2013-03-01,P,E,Hilltop Collision Center,503-722-5885,2021-06-07T17:37:37,CAR_DEALER,200-9,45.333825,-122.596795,Oregon City,,,OR,275 Beavercreek Rd,97045,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7662966.78074054 614796.4739777017),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
48,48,public,24 hours daily,,,2021-06-16,,ELEC,Public,56771,,,E,MATISSE         MATISSE 1,888-758-4389,2021-06-16T00:24:33,,GPS,45.494251,-122.671806,Portland,,,OR,0677 SW Lowell St,97239,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2535'], 'posts': ['53651', '53653']}",,POINT (7645256.489354254 673775.7150966357),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
49,49,public,24 hours daily,,,2021-06-16,,ELEC,Public,57011,,,E,SHERWOOD        CANNERY #3,888-758-4389,2021-06-16T00:24:33,,GPS,45.356464,-122.838989,Sherwood,,,OR,15601 SW Willamette St,97140,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5012'], 'posts': ['60231', '60233']}",,POINT (7600948.705854095 624756.5146801637),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
51,51,public,24 hours daily,,,2021-06-16,,ELEC,Public,60919,,,E,US BANCORP 5TH AVE GARAGE1,888-758-4389,2021-06-16T00:24:33,,GPS,45.522185,-122.675939,Portland,,,OR,111 SW 5th Ave,97204,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL96447'], 'posts': ['110221', '110223']}",,POINT (7644471.335647278 683985.4418048233),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
52,52,public,24 hours daily,,,2021-06-16,,ELEC,Public,60943,,,E,US BANCORP 4TH AVE GARAGE1,888-758-4389,2021-06-16T00:24:33,,GPS,45.522198,-122.674722,Portland,,,OR,125 SW 4th Ave,97204,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL96441'], 'posts': ['110209', '110211']}",,POINT (7644783.268746326 683981.7824558603),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
55,55,public,,,,2021-06-16,,ELEC,Public,62982,2014-07-15,,E,Courtyard Marriott - Tigard Oregon,855-885-9571,2021-06-16T01:28:06,,GPS,45.407373,-122.746448,Tigard,,,OR,15686 SW Sequoia Parkway,97224,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['97'], 'posts': ['181_1', '262_1', '262_2']}",,POINT (7625242.746112727 642635.4999149992),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
56,56,public,,,,2021-06-16,,ELEC,Public,62983,2014-07-01,,E,Lincoln Center - Gustav's Restaurant,855-885-9571,2021-06-16T01:28:06,,GPS,45.445072,-122.77554,Tigard,,,OR,10300 SW Greenburg Road,97223,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['96'], 'posts': ['178_1', '284_1', '284_2']}",,POINT (7618161.370261734 656584.0986462175),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
58,58,public,,,,2021-06-16,,ELEC,Public,62985,2014-07-01,,E,Roth's South Salem Oregon,855-885-9571,2021-06-16T01:28:06,,GPS,44.910615,-123.046231,Salem,,,OR,3045 Commercial Street SE,97302,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['99'], 'posts': ['182_1', '261_1', '261_2']}",,POINT (7542579.68966307 463901.4331232552),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
59,59,public,Dealership business hours,,,2021-06-07,,ELEC,Public,63646,2014-08-01,P,E,Suburban Ford,503-668-5511,2021-06-07T17:37:37,CAR_DEALER,200-9,45.400895,-122.281716,Sandy,,,OR,37000 Highway 26,97055,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7744505.586786114 637299.1352716681),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
60,60,public,24 hours daily,,,2021-06-16,,ELEC,Public,64106,,,E,UOP CHARGE LIBRARY 2,888-758-4389,2021-06-16T00:24:33,,GPS,45.573016,-122.726659,Portland,,,OR,N Mocks Landing Rd,97203,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL90919'], 'posts': ['100307', '100309']}",,POINT (7631987.295792828 702866.0595540896),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
61,61,public,24 hours daily,,,2021-06-16,,ELEC,Public,64115,,,E,ARMSTRONG VW VW_423063_A,888-758-4389,2021-06-16T00:24:33,,GPS,45.376317,-122.600999,Gladstone,,,OR,20000 McLoughlin Blvd,97027,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL107917'], 'posts': ['130889', '130891']}",,POINT (7662288.917858427 630311.5539261734),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
62,62,public,24 hours daily,,,2021-06-16,,ELEC,Public,65854,,,E,Banks - Jim's Thriftway,888-833-2148,2021-06-16T01:05:17,,GPS,45.61007,-123.11286,Banks,,,OR,660 Main Street,97106,US,,,,,,,,,,,['J1772'],,,1.0,Webasto,https://www.evsolutions.com/ev-network,,Level 2: $4 per session or $19.99 for monthly plan,,,,,,,,,,,,,,,,Public,,{'posts': ['284']},,POINT (7533573.415903791 719330.9915992701),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
72,72,public,11am-9pm daily; free for restaurant patrons,,,2021-05-06,,ELEC,Public,65944,2014-09-01,P,E,Cafe Yumm! - Argyle Square,503-638-9866,2021-05-06T13:19:19,RESTAURANT,GPS,45.334986,-122.766691,Wilsonville,Close to the I-5 exit for North Wilsonville and Elligson Road,,OR,8689 SW Robert Burns Dr,97070,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7619305.621168146 616399.2652392761),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
74,74,public,24 hours daily,,,2021-06-16,,ELEC,Public,66600,,,E,WV EV STATION 1 WV EV STATION 1,888-758-4389,2021-06-16T00:24:33,,GPS,45.430256,-122.645106,Milwaukie,,,OR,12705 SE River Rd,97222,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL117843'], 'posts': ['305222', '305224']}",,POINT (7651481.213718772 650268.3658352344),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
76,76,public,11am-5pm daily,,,2021-06-07,,ELEC,Public,69732,2015-09-01,P,E,Laurel Ridge Winery,503-852-7050,2021-06-07T17:37:37,BREWERY_DISTILLERY_WINERY,200-9,45.313977,-123.100942,Carlton,,,OR,13301 NE Kuelene Rd,97111,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,SOLAR,,,,,,,,,,,,,,,Public,,,,POINT (7533146.815504817 611332.4578446271),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
79,79,public,,,,2021-06-16,,ELEC,Public,71432,2019-04-22,,E,Tri-Met Oregon Park Ave Park N Ride,855-885-9571,2021-06-16T01:28:06,,GPS,45.429692,-122.635603,Portland,,,OR,2750 Southeast Park Ave.,97222,US,,,,,,,,,,,['J1772'],,,7.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['138'], 'posts': ['184_1', '185_1', '185_2', '186_1', '186_2', '187_1', '187_2']}",,POINT (7653914.495635009 649998.1812572526),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
85,85,public,24 hours daily,,,2021-06-16,,ELEC,Public,73276,,,E,HIGHLANDCHEVRON WOODBURN EV 1-2,888-758-4389,2021-06-16T00:24:33,,GPS,45.150881,-122.878368,Woodburn,,,OR,993 Lawson Ave,97071,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL126821'], 'posts': ['166009', '166011']}",,POINT (7588624.514621438 550132.197795156),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
